Data	Comentário	Sentimento	Classificação
2020-03-09	Baixei e não perdi nada :-/	Ruim	Não-Informativo
2020-03-03	Não é muito bom toda as horas entra anusio	Ruim	Confiabilidade
2020-03-01	Esso é muito cansativo 😫	Ruim	Não-Informativo
2020-03-01	Espero que esses exercicios me ajudem no que eu quero	Bom	Funcionalidade
2020-02-28	Ruim péssimo demora muito	Ruim	Eficiência
2020-02-28	Não falo nada que ainda estou tentando estalar vamos ver	Ruim	Confiabilidade
2020-02-16	Muito bom excelente app	Bom	Não-Informativo
2020-01-25	Vou dar Uma estrela porque ainda não concluir os 30 dias , mas volto se eu ver resultado e dou mas detalhes	Ruim	Confiabilidade
2020-01-06	Não consigo baixar o app	Ruim	Confiabilidade
2020-01-02	"E além do mais eu pesquisei hoje sobre se a pessoa suar muito perde barriga e o sate só disse assim ""suar só vai tirar água e sais minerais do seu corpo e não vai permitir que vc perca peso e suas gordurinhas vai ficar intactas"""	Ruim	Segurança
2020-01-02	"mais no próprio aplicativo disse assim ""suor pingando são calorias queimando"""	Ruim	Usabilidade
2019-12-19	Fiz os exercícios e passei mal, fiz todos os exercícios e não obtive resultado	Ruim	Funcionalidade
2019-12-19	Não façam q nem eu que fiz esses exercícios sem prescrição médica, passei mal pra caramba	Ruim	Confiabilidade
2019-11-08	Tanto faz, já vi melhor	Ruim	Não-Informativo
2019-10-10	Dei uma estrela mais ñ consigo abrir o aplicativo	Ruim	Confiabilidade
2019-10-05	nao gostei eu mal baixei ele ja esta travando e as vezes nao consegui abrir o app	Ruim	Confiabilidade
2019-09-17	A minha dica é que vcs não instalem esse aplicativo	Ruim	Eficiência
2019-09-17	mas a escolha é de vcs	Ruim	Não-Informativo
2019-09-17	No 3° dia eu machuque as costas e a perna esquerda	Ruim	Funcionalidade
2019-09-17	tive risco de ir para o hospital, mas é só um aviso, se quiserem instalar	Ruim	Não-Informativo
2019-09-06	Como faço para bota em português?? A mulher tá ensinando o exército em outra língua	Ruim	Funcionalidade
2019-09-01	Eu nau poso fazer muitas nau posso fazermuita	Ruim	Confiabilidade
2019-09-01	saude muito Eu nau posso	Ruim	Compatibilidade
2019-08-16	bom vou da uma estrela pq acabei de baixar se tiver resultados dou as outras 4	Ruim	Confiabilidade
2019-08-16	estou adorando apesar de estar no 3 dia	Bom	Eficiência
2019-08-08	esse app não presta	Ruim	Não-Informativo
2019-08-05	Até era bom se não empanca se o telemóvel	Bom	Confiabilidade
2019-07-23	vou testar se for bom mesmo dou mais estrelas ok?	Ruim	Compatibilidade
2019-07-19	muito bom, está me ajudando muito, já estou ansiosa para ver o resultado final	Bom	Não-Informativo
2019-04-28	desinstalei muita propaganda com vírus	Ruim	Não-Informativo
2019-03-22	vou começar hoje daqui 30 dias volto e falo se resolveu cmg e dou mais estrelas	Ruim	Confiabilidade
2019-03-17	uau	Ruim	Eficiência
2019-03-17	 esta mim ajudando muito	Bom	Não-Informativo
2019-03-17	os dias que não vou academia	Ruim	Confiabilidade
2019-03-17	faço meus treinos de abdominal em casa no cochinete	Ruim	Funcionalidade
2019-03-17	maravilhoso porque estou percebendo os resultados	Bom	Não-Informativo
2019-03-16	acabei de baixa ainda nao usei bom vamos ver no dia a dia ✌	Bom	Segurança
2019-03-12	tem alguma pessoa de emagreceu	Bom	Segurança
2019-03-09	tenho 13 anos sera que pra mim funciona? tenho 65kg e quero ficar com tanquinho kkkk sera que da se concluir os 3 meses comecei hj responde ai alguem pfv to na duvida	Ruim	Confiabilidade
2019-03-09	marcelo e você é mulher mesmo?	Ruim	Segurança
2019-03-07	ué nao quer desintalar do celular nao	Ruim	Não-Informativo
2019-03-06	ótimo pra quem quer emagrecer 😁😁😁😁	Bom	Não-Informativo
2019-03-05	eu odiei esse aqlicativo	Bom	Confiabilidade
2019-03-02	quando baixei tava td numa boa dai do nada entrou viros e eu n consegui mais desinstalar o app	Ruim	Não-Informativo
2019-03-01	Acabei de baixar o app, so li comentarios positivos	Ruim	Confiabilidade
2019-03-01	Espero q funcione pra mim tbm👐 Hoje estou com 70 kl,quero peder pelo menos 15	Ruim	Confiabilidade
2019-03-01	Amanha comeco depois volto falando se deu resultados	Ruim	Confiabilidade
2018-10-15	Não gostei, eu instalei e a minha barriga tá do mesmo jeito	Ruim	Não-Informativo
2018-10-10	Vcs todos ainda estão gordas kkkkkk	Ruim	Não-Informativo
