DATA,COMENTÁRIO,SENTIMENTO
23 de março de 2021,Maravilhoso em todas as maneiras possíveis! Interface SUPER FÁCIL E SUPER COMPLETA,1
28 de março de 2021,Excelente prático e funcional. ,1
28 de março de 2021,Único problema é quanto a operação você apaga com muita facilidade os itens inclusos nas refeições,0
23 de março de 2021,Estou gostando muito da para controlar o valor calórico a ser consumido e também apresenta gráficos para acompanhar a evolução. Receitas fáceis práticas e saudáveis mostra o resultado de outras pessoas que servem como incentivo para não desistir.,0
26 de março de 2021,Quero dar duas sugestões pra melhorar ainda mais o app: quando adicionamos receitas deixar a gente colocar por peso também e não só por porção,0
22 de março de 2021,Muito bom ajuda controlar as calorias das refeições. Consigo me alimentar melhor e sem culpa por conta dos controles de calorias. E consegui perder medidas. Não atingi minha meta ainda mas estou gostando do resultado e acredito que vou conseguir chegar!,1
31 de março de 2021,Muito Bom!! Até agora o melhor app da categoria que achei. Template fácil de usar a meta já é feita pelo próprio aplicativo. Melhor app que achei!,1
26 de março de 2021,Era tudo que eu precisava para controlar minha alimentação. Agora além de equilibrar minha alimentação e mantê-la mais saudável também estou perdendo peso. Muito obrigado!,1
12 de março de 2021,Excelente! Intuitivo de usar banco de dados super completo. Para quem deseja um plano alimentar vale a pena assinar o plano pago.,1
23 de março de 2021,Melhor app da categoria possui uma lista muito completa de alimentos e emite um relatório muito informativo. Além disso é possível incluir as raras marcas de alimentos não cadastrados.,1
14 de março de 2021,"É muito prático e tem me ajudado bastante no controle das metas dos macros. Ele salva os alimentos que vc consome com mais frequência alem de uma espécie de """"""""rede social"""""""" onde pode-se postar foto dos pratos e da sua evolução. Recomendo!!",1
21 de março de 2021,Muito bom. O relatório do app ajuda muito no controle de nutrientes. Além disso o app é super fácil de usar. Adoro e já utilizo a muito tempo.,1
13 de março de 2021,Hoje dia 14/03/2021 simplesmente duplicou e apagou todos os macros das refeições lançadas por mim!!! E não é a primeira vez que acontece isso!!! Por favor dêem um jeito no sistema do app!!,0
14 de março de 2021,Muito bom. Se seguir corretamente as calorias pré estabelecidas por vc na hora de programar o aplicativo funciona muito bem.,1
30 de março de 2021,Pra ficar perfeito podia permitir a edição de itens e receitas cadastrados. ,0
9 de março de 2021,Ajudar muito a saber quanto está comendo. Assim pode emagrecer sem ficar fazendo dietas mirabolantes e nem passando vontade de coisas. Controle seu consumo de calorias. Isso me deixa feliz .,1
18 de março de 2021,É fantástico! Consigo facilmente substituir alimentos sem alterar o balanço de macros da dieta.,1
17 de março de 2021,Melhor app que já encontrei nesse segmento! Parabéns aos desenvolvedores ajuda muito no controle e incentiva muito a rede de apoio que tem. 👏🏼,1
24 de março de 2021,Excelente ajuda muito no controle da alimentação em relação das porcentagens dos nutrientes ingeridos no dia a dia.,1
17 de março de 2021,Muito bom! Possibita fazer uma dieta flexível. Pode comer o que quiser desde que não ultrapasse as calorias. Ajuda a escolher alimentos melhores e mais nutritivos no dia a dia. Recomendo! ☺️,1
29 de março de 2021,Excelente para acompanhamento da alimentação e para balancear a dieta alimentar para que seja a perda de peso seja saudável.,1
26 de março de 2021,Excelente aplicativo. Está sendo muito útil no meu controle da alimentação.,1
19 de março de 2021,Esta Aplicação ajuda muito no controle de calorias. Mas as calorias dos alimentos diferem das de outras aplicações fico um pouco confusa,0
7 de março de 2021,Um aplicativo maravilhoso superou minhas expectativas consigo ter um controle do que comer e ele ainda nos ensina a escolher a comida mais saudavel,1
27 de março de 2021,Muito fácil de usar ajuda muito a montar sua própria dieta podendo deixar mais calorias nas refeições que tem mais fome,1
8 de março de 2021,Funcional prático e realmente ajuda no controlo de peso!,1
24 de março de 2021,A versão paga deve ser muito boa porém está acima do preço para minhas condições. Entretanto é um ótimo app msm na versão grátis,1
13 de março de 2021,Muito bom o app para contagem das calorias tem várias opções de alimentos cadastrados e tem como colocar os produtos que encontro na minha região. Poder ler os depoimentos do pessoal ajuda muito também para não desanima nessa caminhada. E ainda tem receitas fáceis e de baixa calorias. Muito bom.,1
6 de março de 2021,App sensacional! Consigo ter mais clareza do que como em questão de macronutrientes e calorias... Diferenciar quais alimentos podem me dar mais saciedade e terem um valor calórico menor que outros... Montar cardápios balanceados! Simplesmente incrível além da opção de podermos complementar o app co… Resenha completa,1
18 de março de 2021,Aplicativo excelente que tem me ajudado muito no controle alimentar no meu processo de emagrecimento.,1
21 de fevereiro de 2021,Ótimo App ajuda muito no controle interação com outros usuários facilita o engajamento.,1
12 de março de 2021,Uma experiência ótima a muito tempo brigava com a balança quando instalei esse programa não estava muito confiante mas em 60 dias consegui eliminar 65 estou muito feliz o meu objetivo e perder 10 até 02 de maio foi a resposta que tive com o questionario respondido estou caminhando para isso.,1
26 de março de 2021,Amo o app! Muoto fácil de usar e adequado ao que eu preciso!,1
3 de março de 2021, Só não fica muito claro como são calculadas as porcentagens consumidas de carboidratos gorduras e proteínas.,0
3 de março de 2021,Gostei bastante do app. Possui muitos alimentos cadastrados que facilita na hora de adicionar ao diário.,1
15 de março de 2021,Muito bom. É um dos únicos meios que dá certo para emagrecer. Além de contar com uma comunidade que te apoia em sua dieta.,1
3 de março de 2021,"Aparece um tal de """"""""dormir que não tem como editar e todo dia dia que queimei 1800 calorias sendo que é mentira não durmo nem 4 horas por dia. Não presta esse App.",0
9 de março de 2021,Excelente app para anotar as refeiçoes e seguir quantidade de Kcal consumidas. Recomendo!,1
19 de março de 2021,Um app sem igual. Gratuito e completo. De todos que já usei nessa linha um dos primeiros lugares é a do FatSecret. Top!,1
20 de março de 2021,Ótimo app possibilita saber a quantidade de cada componente dos alimentos planejar refeições saudáveis verificar a ingestão diária total de calorias possui cardápio registro do peso etc. Sem comercial e gratuito. Obrigada e parabéns aos desenvolvedores.,1
15 de março de 2021,Ótimo para acompanhamento de consumo de calorias,1
1 de março de 2021,Melhor app contador de calorias,1
22 de junho de 2020,Muito fácil de mexer. e grátis 😍,1
16 de outubro de 2020,Melhorou e muito esta ótimo agora,1
5 de abril de 2019,Bom aplicativo,1
14 de novembro de 2017,Otimo,1
29 de novembro de 2016,Excelente!!! Coloco toda a minha alimentaçao. Me ajuda a ter controle.,1
28 de janeiro de 2013,Excelente aplicativo! Me ajuda muito...,1
1 de agosto de 2020,App excelente parabéns!!!,1
8 de novembro de 2019,Amei!,1
29 de maio de 2020,Ótimo app eu recomendo.,1
26 de agosto de 2014,Recomendo!,1
3 de junho de 2020,Muito bom,1
5 de junho de 2013,Super recomendo maravilhoso,1
14 de junho de 2014,Otimo está me ajudando muito !!! Super legal😍😍😍,1
21 de novembro de 2019,Amei esse aplicativo,1
20 de janeiro de 2017,Foco,1
28 de outubro de 2019,Muito bom,1
22 de dezembro de 2015,Excelente,1
5 de outubro de 2015,Otimo,1
11 de janeiro de 2017,Melhor contador de calorias,1
4 de janeiro de 2017,Perfeito,1
10 de agosto de 2020,ótimo auxílio.,1
26 de outubro de 2016,Ótimo,1
6 de julho de 2019,Utilização bastante intuitiva. Da pra controlar o avanço da perda de peso e calorias e informaçoes nutricionais dos alimentos ingeridos.,1
