DATA,COMENTÁRIO,CLASSIFICAÇÃO
28 de março de 2021,Único problema é quanto a operação você apaga com muita facilidade os itens inclusos nas refeições,3
26 de março de 2021,Quero dar duas sugestões pra melhorar ainda mais o app: quando adicionamos receitas deixar a gente colocar por peso também e não só por porção,1
13 de março de 2021,Hoje dia 14/03/2021 simplesmente duplicou e apagou todos os macros das refeições lançadas por mim!!! E não é a primeira vez que acontece isso!!! Por favor dêem um jeito no sistema do app!!,2
30 de março de 2021,Pra ficar perfeito podia permitir a edição de itens e receitas cadastrados. ,1
19 de março de 2021,Esta Aplicação ajuda muito no controle de calorias. Mas as calorias dos alimentos diferem das de outras aplicações fico um pouco confusa,3
3 de março de 2021, Só não fica muito claro como são calculadas as porcentagens consumidas de carboidratos gorduras e proteínas.,3
19 de março de 2018,Muito bom o App só acho que a versão paga deveria ter mais funcionalidades.,2
8 de junho de 2020,To tentando adicionar Refeição clico e não aparece nada. Tentei em outro aparelho e não consegui. Ajuda?,3
9 de maio de 2016,"Muito bom mas poderia ter a opção de desativar o """"""""arrastar para esquerda para excluir"""""""" vivo excluindo sem querer.",1
7 de março de 2017,Maravilhoso,2
23 de abril de 2020,Queria que funcionasse offline,1
25 de novembro de 2019, E falta sincronizar as informações de meta inseridas a partir de dispositivos diferentes.,1
25 de novembro de 2019,Tb Não está sincronizando exercícios com o mapmyride ambos atualizados.,2
25 de novembro de 2019,Preciso reverter para a versão anterior como faz? Estou louca sem a visualização das calorias em verde e vermelho! ,3
17 de novembro de 2017,Infelizmente o app não possui modo escuro eu particularmente sinto bastante falta,1
17 de novembro de 2017,Sinto que ele poderia ser mais otimizado percebi uma lentidão na hora de iniciar o app e tenho um celular bom. ,4
28 de março de 2021,O aplicativo tem sua utilidade mas a sincronização com os outros aplicativos da própria desenvolvedora é horrível o Run o Ride o Fitness o Walk é sempre confusa a sincronização horas contabiliza as calorias horas não horas vc consegue colocar foto do treino horas não puxar foto da galeria,2
27 de março de 2021,Não consigo usar o app quando tento criar um cadastro sempre aparece um aviso que não é possível usar aquele nome de usuário e já tentei vários diferentes.,2
31 de março de 2021,Gastei alguns minutos cadastrando e no fim ele não valida meu nome de usuário tentei vários e não deu certo. ,2
28 de março de 2021,Não aceita nenhum nome de usuário já coloquei todos possíveis e até qualquer letras. Não consigo nem terminar o cadastro.,2
31 de março de 2021,Fica as vezes mais de 2min carregando para poder abrir e isso atrapalha muito outros aplicativos abrem praticamente instantâneamente no meu smartphone só para vonstar que é erro do aplicativo. ,4
27 de março de 2021,Ele só poderia disponibilizar os alimentos offline porque moro na roça e as vezes não tenho sinal e depois esqueço de anotar o que comi.,1
28 de fevereiro de 2021,É um aplicativo ótimo mais acredito que com as novas tecnologias ele poderia ter atualizações para vincular como por exemplo com o Mi Fit Google Fit.,1
18 de março de 2021,Estou tendo problemas em adicionar alimentos diferentes no meu diário. Diz que não está conectado a internet. Mas eu estou conectada.. inclusive escrevendo agora aqui. Rsss.,2
23 de março de 2021,O blog e a comunidade estão dando erro para abrir e é meio solitário não ter essas opções.,2
14 de março de 2021,Mas tem alguns dias que ou demora pra abrir ou diz que está dando problemas continuamente e não abre.,4
15 de março de 2021,Falta atualizações sempre. Considero o banco de dados ainda limitado.,1
15 de março de 2021,Mais tive dificuldade em usar as várias opções disponíveis. Deveria ser mais simple.,3
2 de março de 2021,Simplesmente horrível até agora não consegui criar a minha contatoda vez que eu coloco a minha data de nascimento diz que não é possível realizar o cadastro e é pra tentar mais tarde cara eu já tô a DUAS SEMANAS tentando criar a minha conta . ,2
7 de março de 2021,A app é boa mas podia sincronizar com outros aparelhos eu tenho um relógio xiaomi e não baixa os dados de passos e/ou desporto.,6
23 de fevereiro de 2021,ATENÇÀO!!! Horrível!!! Sou usuário Premium e os números de macro nutrientes e a quantidade de calorias simplesmente não fecham a conta!! Maior quantidade de calorias do que deveria ser direto as contas não fecham!! Erros bizarros de contas simples!!! Os cálculos totais são errados!!,2
28 de fevereiro de 2021,App não conversa com Samsung contador de passos não identifica fraco com relação ao acompanhamento sem acesso ao blog fica muito solitário. Não gostei e em 2 dias já quero cancelar,6
28 de fevereiro de 2021,O aplicativo também não permite regravar ou apagar uma atividade para renomear.,3
28 de fevereiro de 2021,Quando colocamos atividade o app coloca que a menos a queima de calorias. ,2
18 de março de 2021,Olá! Estou com problemas para acessar o app toda vez que entrar ele demora muito para acessar a página inicial.,4
16 de março de 2021,De lamentar que não faça conexão com a app MiFit para quem tem Mi Band.,6
22 de fevereiro de 2021,Gosto muito dele mas de um tempo pra cá está dando muito problema não abre de jeito nenhum.,2
5 de março de 2021,Até mesmo a contagem de passos está com bug. Quando o app Samsung Health está conectado aparece mensagem de erro.,2
5 de março de 2021,Há bugs na sincronização de atividades. ,2
23 de março de 2021,O app parou de funcionar do nada! Ele fecha automaticamente quando clico pra abri-lo.,2
11 de março de 2021,No final do cadastro marca que estou sem internet sendo que está tudo ok fica dando esse erro eu já usei era tempo que esse App era bom me ajudem preciso muito usa lo pra minha perda de peso,2
23 de março de 2021,Não consigo nem sequer fazer meu registro. Não aceita o nome de usuário. Já coloquei de tudo de tudo mesmo.,2
11 de janeiro de 2019,Muito ruim para realizar o registro,3
5 de julho de 2020,"Absurdo!!! Já cancelei a um mês atrás e agora veio cobrança, quero meu dinheiro de volta",2
2020-03-11,Nao atualiza as metas. sempre aparece um aviso dizendo que não foi possível atualizar.,2
2020-02-28,E para cancelar não tem reembolso,5
2020-02-26,"Diz que são 30 dias gratuitos, mas na verdade não é",2
2020-02-25,Você paga e depois não tem como cancelar,2
2020-02-21,"Não é possível fazer o cancelamento, a renovação é automática sem comunicação prévia",2
2020-02-21,"Não gostei do APP, desenstalei e mesmo assim me cobraram",0
2020-02-19,É necessário ir para a página principal do App e adicionar o alimento,0
2020-02-18,"Se o usuário estiver em uma dieta repetitiva, do tipo frango e batata, não poderá copiar a refeição",1
2020-02-17,Não dá mais pra visualizar todas as refeições do dia e todos os respectivos alimentos,1
2020-02-17,Não consigo cancelar minha assinatura antes dos 7 dias,2
